Place of interest,Type of Place,Place Address,BiciMAD Station,Station Location,Distance
Centro Deportivo Municipal Cerro Almodóvar,Principales espacios de deporte,CALLE CERRO DE ALMODOVAR 9,221 - Pavones,Calle Hacienda de Pavones nº 342,4155.192645604284
Centro Deportivo Municipal Chamartín,Principales espacios de deporte,AVENIDA PIO XII 2,254 - Pío XII,Avenida Pío XII nº 3,129.73270845754504
Centro Deportivo Municipal Circuito BMX,Principales espacios de deporte,CALLE EMBAJADORES 316,235 - Embajadores 191,Calle Sodio nº 1B,417.6124350987269
Centro Deportivo Municipal Ciudad de los Poetas,Principales espacios de deporte,CALLE ANTONIO MACHADO 12,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,1591.3541187865846
Centro Deportivo Municipal Concepción,Principales espacios de deporte,CALLE JOSE DEL HIERRO 5,229 - C.D. Concepción,Calle Jose del Hierro nº 5,15.550198628239643
Centro Deportivo Municipal Daoíz y Velarde 1,Principales espacios de deporte,PLAZA DAOÍZ Y VELARDE 5,178 - Junta Municipal Retiro,Calle León Gil de Palacio nº 3,183.79058199132297
Centro Deportivo Municipal Daoíz y Velarde 2,Principales espacios de deporte,CALLE ALBERCHE 21,178 - Junta Municipal Retiro,Calle León Gil de Palacio nº 3,258.5276065636965
Centro Deportivo Municipal El Espinillo,Principales espacios de deporte,CARRETERA VILLAVERDE A VALLECAS 19,235 - Embajadores 191,Calle Sodio nº 1B,3688.246083935159
Centro Deportivo Municipal El Olivillo,Principales espacios de deporte,CALLE OLIVILLO 4,224 - Caramuel,Calle Caramuel nº 51,1957.8300358222323
Centro Deportivo Municipal El Quijote (antiguo Francos Rodríguez),Principales espacios de deporte,CALLE NUMANCIA 11,237 - Pablo Iglesias,Calle Francisco Balseiro nº 1,380.8652535441735
Centro Deportivo Municipal Entrevías,Principales espacios de deporte,RONDA SUR 4,180 - Méndez Álvaro,Calle Retama nº 5,1757.0917991493748
Centro Deportivo Municipal Escuelas de San Antón,Principales espacios de deporte,CALLE FARMACIA 13,6 - Colegio Arquitectos,Calle Hortaleza nº 63,72.2842708061285
Centro Deportivo Municipal Estanque del Retiro,Principales espacios de deporte,PASEO COLOMBIA 2,102 - Velázquez,Calle Alcalá nº 95,310.14377033059054
